37.7773 45.5763
9.10825 32.5037
20.9906 2.53914
22.7882 24.5598
35.0917 20.7801
42.41 24.807
10.6372 4.43434
43.0784 20.3513
24.0303 36.1538
16.3182 43.1867
34.5897 47.0763
16.3961 12.4775
13.9393 9.95056
37.2005 35.1604
0.480667 6.96585
15.0044 28.8919
36.7748 48.8433
27.4346 6.43178
22.6478 46.7681
33.9183 35.519
41.8363 13.7211
27.9656 13.2756
44.9721 46.7544
46.5789 19.2587
6.65914 17.6427 -0.868907
22.103 9.93835 -7.58153
27.4209 3.07779 -7.03433
3.58592 9.241 0.108089
26.8731 26.812 0.374446
23.6396 2.75735 -5.88975
2.96182 25.5898 -1.43435
5.25224 46.8429 0.14554
35.6853 37.2829 5.37008
26.2413 8.74966 -12.88
46.147 4.944 -0.0648409
13.3229 15.6728 2.75352
5.72375 30.5811 -2.2861
37.0754 1.13071 -1.17697
3.13883 5.18052 0.0608865
28.0648 37.7941 12.0443
2.25074 16.5868 -0.299347
9.50804 20.7785 -2.66173
48.3871 11.7573 0.161152
16.7348 40.521 7.83187
6.01215 14.98 -0.118739
48.7732 9.23185 0.047434
35.5846 28.6187 5.61127
22.3853 30.0592 1.90024
42.3414 17.9266 2.95851
23.8685 22.956 4.29195
4.91195 6.51723 0.127721
28.8919 46.3836 7.93654
16.5044 34.0327 0.94568
35.7418 28.8461 5.62215
46.5072 2.58339 -0.0439738
32.2443 49.3728 2.68513
5.31327 13.5304 0.0469025
41.6913 30.9824 3.80093
20.188 21.1463 6.83348
18.0883 36.1919 5.66321
4.96841 4.738 0.0922865
36.0302 28.6477 5.85225
31.4371 35.8028 6.62675
45.5123 39.9258 0.501512
35.1604 41.7432 6.04588
37.0067 5.57421 -2.82042
13.6189 42.7427 3.84472
37.0891 9.45921 -3.07994
49.4278 13.3457 0.188378
29.9646 0.460829 -3.22913
16.4663 45.3093 5.32459
25.1625 20.6153 3.9142
1.74718 13.2694 -0.0358544
16.7562 8.72372 -1.64473
0.799585 19.8294 -0.442134
4.38551 18.5324 -0.881025
19.4052 21.5873 6.03051
21.4103 15.5065 4.39308
39.5077 12.6804 0.101047
40.5133 41.2976 1.88861
32.0765 17.4306 0.0493465
2.04169 9.93683 0.0530259
24.7688 18.6102 4.15594
35.4381 24.836 6.24627
7.18558 22.9316 -3.21322
19.0207 30.6421 0.551055
31.5363 40.3027 10.7147
48.4817 39.0347 0.201668
41.5189 28.4127 4.88869
9.37681 42.494 1.05357
37.2555 29.2093 6.01105
23.9311 5.13016 -9.06268
9.05332 48.8388 0.392144
17.478 44.6272 6.95906
47.8454 7.60521 0.00759261
24.8314 44.3449 12.8408
15.0807 11.5085 1.52277
31.93 9.68963 -9.49113
29.9265 21.926 1.01108
23.0232 7.7578 -10.0632
6.54469 25.0053 -3.33339
28.753 4.35804 -8.53609
49.295 27.3247 0.72471
45.4268 37.4538 0.726868
38.6486 29.3832 5.87154
20.7846 41.0932 13.5839
15.6468 3.49284 -1.31865
26.5908 8.89157 -12.9823
47.705 27.6193 1.22364
13.3518 11.1362 1.36198
33.5627 1.74108 -2.89506
17.4749 4.54573 -2.73589
30.2347 48.3062 4.57751
16.1824 48.7884 2.42482
9.72015 23.31 -4.27832
0.489822 18.7872 -0.326899
28.3258 39.6008 14.0365
11.5665 26.899 -5.52562
16.3869 28.9438 -2.31061
10.7852 44.0123 1.5898
21.2287 44.4166 11.0465
28.7759 33.6344 3.83327
11.1377 29.7082 -4.96826
13.7928 38.0306 2.72134
23.2093 6.86514 -9.9814
24.7215 30.4804 1.39042
12.8315 9.064 0.466795
39.0133 22.6966 6.65172
37.6537 9.96124 -2.42107
20.8762 41.5052 13.5797
33.8389 26.1895 4.64912
20.0491 13.7928 2.36383
17.4123 44.5616 6.949
46.4309 23.8594 1.9178
18.5186 0.541704 -1.58314
40.9085 32.1574 3.72439
31.4081 9.55687 -10.1838
37.7071 19.5441 5.2397
37.9482 27.6879 6.677
38.5296 46.0753 1.65339
37.4889 43.3302 3.26983
43.8353 38.4106 1.01518
40.8918 26.3649 5.85114
11.5741 44.9034 1.82629
11.5223 36.4315 -0.144975
38.6517 22.4189 6.65947
11.034 16.8081 0.652601
35.4732 43.9604 4.6662
32.754 25.544 3.45523
38.8714 41.1512 2.87756
30.4575 30.3201 1.16216
33.7077 20.6519 3.68361
25.4021 18.6697 3.35671
28.4997 18.5614 0.365156
49.3606 0.0839252 -0.0052047
5.34837 31.8644 -1.78476
6.51875 1.5717 0.0556799
39.5032 40.994 2.50063
12.0411 33.2453 -2.69151
8.85342 12.5813 0.694997
40.0845 25.4784 6.47219
38.7082 46.4293 1.46961
39.1247 14.2216 1.05802
2.0951 5.78326 0.0472592
47.3586 26.0186 1.45072
20.9815 44.9965 9.98534
16.0329 39.2819 6.31282
38.6578 23.5725 6.9611
23.4855 23.423 4.33382
8.63674 20.7389 -2.60169
37.7209 32.3573 4.66499
20.3726 39.552 12.6884
10.3427 3.97198 0.0288023
7.09708 14.6107 0.075163
9.6408 42.1201 1.15092
6.10828 12.4638 0.215896
25.6478 32.6838 3.04496
16.8111 38.7402 7.02267
4.98367 20.2979 -1.48659
26.8136 41.0764 15.6367
48.3032 47.2655 0.0412216
1.41911 21.9321 -0.724343
28.1396 31.251 0.962171
6.79647 0.303659 0.0409604
9.99634 33.3033 -2.69636
12.1632 36.4391 0.164858
34.4386 42.7808 6.40443
41.2763 8.60164 -0.645359
43.0647 30.7154 3.10084
18.5553 5.95263 -4.11855
6.11744 48.2162 0.15768
30.1584 26.5954 0.791915
34.5821 21.4377 4.80243
45.2879 44.8729 0.244756
34.5531 19.7165 3.88851
18.0868 36.9564 6.77008
36.7183 48.3795 1.52561
15.3981 28.8064 -3.35259
8.73287 42.8587 0.830267
40.727 5.54674 -0.862528
33.3369 15.6072 -1.2327
49.6887 46.3393 0.0279038
9.98413 32.4412 -3.25764
27.2988 23.7953 0.924291
12.8483 19.8019 -0.201191
22.3762 32.0246 2.83371
12.9566 29.5709 -4.83651
9.38139 32.3298 -3.17889
47.3189 12.9444 0.320709
23.0262 30.6589 1.9668
42.8358 29.9692 3.48667
35.9371 25.8599 6.54471
27.8039 46.2676 8.72544
24.7017 42.7808 15.0513
38.8302 43.5499 2.30211
44.6074 39.3155 0.725703
5.96637 45.4466 0.238766
8.37886 1.42521 0.0497343
23.8945 35.2382 8.05672
39.2483 15.2196 1.87038
41.9279 17.0461 2.69478
43.6216 30.1431 2.94483
30.7062 47.0397 5.84347
23.7251 2.33467 -5.40247
8.35139 36.2209 -0.859442
25.4799 32.2459 2.52275
33.8954 1.36113 -2.48133
41.9492 35.5327 2.17517
0.819422 15.6484 -0.144594
17.6687 11.3254 0.142256
38.5113 35.5861 3.70654
24.163 46.9298 8.21708
4.41603 5.74053 0.0976674
1.9715 23.0018 -0.952107
24.7612 17.8823 3.64244
39.4848 8.27967 -1.45213
16.5883 26.0735 -1.2189
33.9122 7.93634 -6.83096
48.9807 44.2854 0.0616943
4.69222 4.59303 0.0838793
26.2398 28.0923 0.457639
4.66018 6.08997 0.110979
0.859097 17.0125 -0.235085
49.2706 39.0332 0.148707
49.0905 39.0561 0.158953
9.20438 2.22785 0.0456228
16.9195 4.03455 -2.17977
36.6848 19.0313 4.63495
19.2724 37.2265 8.66733
20.7602 2.67953 -4.12183
0.244148 29.8975 -0.485254
41.9416 23.6885 5.11841
37.1883 8.32087 -3.13779
21.4362 43.3485 12.6589
46.4522 47.7859 0.0790718
35.3557 2.39875 -2.40273
23.6015 33.2041 4.2492
39.1476 28.9605 5.93046
25.9178 42.8526 14.8374
22.6081 4.7319 -7.57916
29.9997 6.83004 -10.7476
40.7788 3.58592 -0.655362
22.2633 16.7837 5.53414
41.0215 41.5677 1.6059
5.18662 38.4503 -0.188285
31.6034 2.38807 -4.49707
27.0684 3.6195 -7.87263
12.1036 27.4758 -5.46714
18.1433 33.0393 1.3975
10.9409 34.6309 -1.72727
40.8582 16.8294 2.90472
0.343332 4.35652 0.0195791
37.1197 4.00555 -2.18296
34.077 47.9415 2.91355
30.3247 27.6223 0.843598
28.2357 46.3179 8.4201
14.9937 17.1331 4.06577
30.4193 23.8121 1.17783
41.8073 24.5247 5.28853
47.5845 45.8022 0.0804873
30.871 15.772 -2.81223
27.9214 4.36415 -8.83847
21.012 4.19935 -5.6536
17.0309 30.9824 -1.20316
37.9315 27.2912 6.80965
33.7397 0.352489 -1.93333
38.9981 43.5194 2.2142
35.8516 14.3864 -0.557782
17.5375 0.766014 -1.32246
21.1524 30.4254 1.77976
24.3934 2.87637 -6.35914
33.9885 22.7821 4.64831
39.5856 25.9301 6.68684
22.718 41.6272 15.2475
1.88299 10.7669 0.0393386
18.3493 8.30714 -3.56465
29.1009 33.3659 3.39125
29.696 11.1591 -10.8067
36.9259 29.5984 5.77742
25.3349 40.8582 16.2008
39.0942 25.9529 6.88717
47.7035 29.3939 1.07941
36.7336 2.76955 -1.89705
29.6335 31.7164 1.55981
29.6655 41.5632 12.9153
8.63674 14.1224 0.496079
7.50145 32.9859 -2.23276
9.26237 38.4365 0.233814
3.34636 47.0046 0.0607982
38.8318 6.06555 -1.74001
17.8838 41.8317 9.43321
16.8538 0.972015 -1.15485
46.7162 13.2145 0.407675
33.4727 45.6389 5.22177
18.714 10.5884 -1.87828
7.19321 9.0701 0.338111
28.2373 21.7124 1.01446
37.2707 30.9458 5.22915
18.9886 2.3072 -2.73286
21.0105 0.892666 -2.78659
2.36824 2.28736 0.0266117
31.3593 7.04978 -9.5663
18.0914 15.1296 5.35585
25.0175 42.9029 14.9188
19.9133 1.94861 -3.03096
26.4748 36.4803 10.3509
44.2671 16.8523 1.73318
8.1988 40.9986 0.561459
44.6181 35.1161 1.2606
12.3615 0.975067 -0.160541
49.353 10.7562 0.0839654
34.3501 32.899 4.19366
26.0262 15.07 -2.49054
13.4358 34.5103 -0.978989
9.75219 32.6731 -3.0637
0.863674 11.7695 0.00512522
28.5821 16.6433 -1.67497
0.704977 37.5439 -0.120592
33.6619 29.2978 3.86427
3.77514 31.1136 -1.32891
16.9805 20.1712 4.6603
9.9292 22.5257 -3.85237
24.5476 17.774 3.83059
9.04721 40.8948 0.807536
47.7676 36.6802 0.388031
16.0298 40.6613 6.84852
0.871304 26.5038 -0.730471
30.1065 4.92874 -8.52464
17.188 14.3376 4.37484
13.7638 39.9091 3.79848
22.071 17.217 6.23814
11.6367 49.5178 0.710805
15.3005 26.1467 -2.91235
4.62966 4.24665 0.0768109
20.7785 38.2992 11.9458
19.6219 43.3164 10.7578
36.3124 38.8913 5.16408
40.0372 24.1813 6.48607
41.3083 9.35545 -0.527481
37.6232 8.48567 -2.74255
45.1918 13.329 0.594651
20.7144 48.4954 4.77287
34.3699 37.0388 6.17378
19.3274 13.068 1.60662
0.517288 35.6426 -0.20348
2.37739 17.2658 -0.387629
8.05689 12.1036 0.531194
47.3373 44.615 0.115444
33.5795 30.1263 3.65445
7.64641 26.1177 -4.10112
35.0703 37.7499 5.98047
48.2025 15.0685 0.426821
33.7291 3.14035 -3.86853
44.203 21.7277 3.09173
16.1885 39.169 6.45802
13.712 46.9131 2.26605
39.9808 18.2989 4.10265
29.2062 28.5928 0.211166
0.00305176 4.38551 0.0171643
28.4433 40.5316 14.3457
38.8684 2.92062 -1.08701
19.9622 7.02689 -5.95026
8.88546 6.31123 0.224536
3.53099 22.8553 -1.48166
18.54 35.7234 5.47675
0.830103 42.4253 0.00688301
21.2271 6.07776 -7.26051
16.7241 27.2454 -1.58631
29.1162 15.7628 -3.18433
26.3939 15.7659 -1.49135
9.89868 37.5958 0.0354038
8.66878 4.6205 0.128559
49.2843 12.6362 0.162196
20.867 5.37889 -6.42706
36.9945 23.3818 6.89487
35.4427 15.8422 0.834277
9.15403 47.9263 0.505458
33.7672 19.9454 3.37671
4.79446 21.6315 -1.76866
27.3522 5.34684 -10.3663
19.3625 7.89056 -5.03588
1.82195 12.7506 -0.0138684
12.9994 4.52895 -0.386626
3.96283 6.02893 0.0902487
6.41957 37.4142 -0.409551
17.1392 27.2057 -1.04246
22.2053 17.832 6.66722
45.4024 25.3746 2.54805
4.31227 15.1997 -0.208275
1.61443 23.5954 -0.883992
23.6274 21.6773 5.24169
19.8798 12.8452 0.646048
2.35603 10.2176 0.0586913
37.6019 37.0876 4.10504
15.0807 12.6621 2.49311
17.4917 8.50551 -2.48757
49.295 19.3945 0.578423
4.82192 16.9927 -0.566777
33.2057 27.1584 3.80841
40.2539 22.9148 6.14932
13.654 36.5658 1.28307
23.5328 47.2716 7.52401
41.9385 25.8858 5.1413
48.3901 48.2498 0.0303357
0.346386 2.66427 0.0141733
3.93231 48.291 0.0620727
27.2485 9.73083 -12.7977
12.8697 0.691244 -0.206447
23.516 37.1731 12.0568
1.84027 9.83306 0.0489749
48.1094 16.8188 0.61302
24.2088 44.0672 13.2174
35.641 0.813318 -1.51708
30.5963 5.356 -8.66634
43.7193 0.831629 -0.114871
7.48924 44.7142 0.473697
12.8895 39.4971 2.76341
29.2276 37.4966 10.6733
46.9909 40.5789 0.271685
43.6659 7.62963 -0.210465
46.7238 9.51262 0.0691545
36.8694 14.8274 0.651306
4.26649 30.8191 -1.56976
47.0931 43.849 0.148413
41.7371 33.9808 2.6819
23.4214 9.87426 -9.58615
1.30009 4.33058 0.0280729
49.3225 19.068 0.552666
19.7714 40.5408 12.2881
26.4687 48.3627 5.80326
45.4833 35.2306 0.985795
39.1339 33.5459 3.92105
30.2637 30.3049 1.04284
44.4426 29.7296 2.56263
4.31837 23.5435 -1.91393
8.83358 33.2179 -2.52194
16.8416 28.0435 -1.67957
36.0271 28.8842 5.75943
0.151066 11.0263 0.0103424
6.78732 2.08899 0.0649226
40.1852 13.6387 0.87331
25.84 29.2154 0.614447
11.1423 28.2357 -5.41565
46.2111 35.8699 0.72675
7.11844 34.7774 -1.3652
16.3305 36.8419 4.37774
28.4982 22.8477 0.745697
20.2048 46.8474 6.68557
5.96942 0.892666 0.0440691
5.95416 26.1315 -3.03682
19.9393 19.2267 7.78461
23.0552 0.0244141 -2.78076
48.1674 8.36512 0.0267633
13.5807 16.4495 2.82776
49.4385 9.25321 0.0418004
27.7581 30.5094 0.489946
16.0894 46.9634 3.67471
9.1586 30.1721 -4.181
3.18613 24.3873 -1.48391
19.8202 42.1384 11.9655
17.1773 37.5408 6.31936
0.633259 31.9422 -0.43983
21.8299 38.9874 13.7999
37.2906 37.3608 4.30869
44.2717 0.982697 -0.0938256
27.1096 49.1775 4.56995
38.934 4.88601 -1.48327
17.0537 28.3746 -1.49454
42.2239 8.40022 -0.408818
8.25983 23.8243 -4.0186
25.721 17.2109 1.63199
47.3708 29.5099 1.18603
30.7428 12.5767 -8.12654
0 45.3764 0.0121639
42.0438 11.4475 0.150354
26.6564 30.8557 0.88503
33.5047 10.6571 -6.92187
6.39058 15.1204 -0.117528
43.6048 41.7676 0.729201
28.5363 3.14798 -6.88051
13.4892 38.1054 2.48892
47.8103 41.6501 0.166517
45.4451 40.5927 0.466989
23.1208 33.9076 5.3959
14.6001 43.8871 4.42798
35.3648 17.6229 2.72854
41.6623 9.42106 -0.415567
4.55031 44.8057 0.135078
9.49889 46.9192 0.699485
1.55187 27.7688 -0.888271
31.3868 40.8963 10.9295
24.7887 40.3149 16.154
3.71868 23.7724 -1.66521
37.1807 38.1451 4.42299
1.01321 22.1183 -0.645263
33.6512 37.5835 7.0498
46.0112 27.6055 2.02031
34.5241 16.6478 1.07841
12.6789 19.2297 0.174796
25.1015 27.5689 1.19402
44.9492 38.3679 0.739735
36.7489 34.7697 4.41008
48.9792 43.2234 0.0768212
39.7931 17.423 3.54453
41.7737 44.2412 0.910349
43.5621 0.601215 -0.115642
13.9531 47.0199 2.34326
23.8472 4.12 -7.7515
39.5047 4.33515 -1.14321
23.1391 23.0995 4.79981
40.3104 3.78124 -0.798752
43.907 29.3451 2.98503
38.2839 42.6389 2.92204
30.282 7.58385 -11.0631
2.90231 16.4922 -0.33496
8.41243 15.624 0.0696838
26.9814 23.2047 1.29557
30.8328 32.5053 2.62695
38.4579 8.76339 -2.05526
45.1476 33.7046 1.34239
31.045 6.60268 -9.54379
32.3405 7.44499 -8.65229
21.543 46.9237 7.35401
35.0276 1.19175 -1.91265
16.6036 37.6156 5.63691
20.9708 12.3783 -1.64754
46.8078 43.3164 0.183518
2.13935 12.4332 0.00197905
0.814844 14.1743 -0.0697887
4.67391 18.1799 -0.840788
17.449 40.8902 8.93173
10.0253 49.6475 0.429401
18.4744 37.5713 8.11509
12.6011 38.3816 1.91574
39.9426 29.0063 5.58909
14.2308 25.3029 -3.66847
44.8576 43.8841 0.344661
0.759911 12.1769 -0.00444809
25.0175 40.5194 16.2039
21.0852 5.76189 -6.91405
24.8253 16.6875 2.09405
13.9378 18.6911 1.96247
44.8836 30.0851 2.23296
2.74361 16.158 -0.283543
8.18201 30.9961 -3.38601
3.85754 22.4708 -1.55778
46.7086 33.7413 0.86446
18.482 26.5236 0.965384
41.2671 28.4494 5.04462
3.59966 0.257881 0.0230903
22.3441 9.7232 -8.19015
42.2239 19.1824 3.58376
14.8106 23.7693 -1.94425
8.25983 48.9914 0.288462
34.3013 10.535 -5.92668
46.3393 37.373 0.555872
18.0395 42.4482 9.37824
11.8686 25.0542 -5.05445
47.9781 36.2712 0.386317
41.6837 15.1372 1.74418
